City Abreviation,City,State,(City),Site Type,"Site Type (1 = District, 2 = State)",Year,"Yearnum ""1=1995, 13=2019""",Analysis Weight,Analysis Stratum,"PSU ""Analysis primary sampling unit""",Record ID,"age ""1= 10 years, 7=16+ years old""","sex ""1=Female 2= Male""","grade ""1=6th, 3=8th grade""","race4 ""4-level race variable""","q6 ""Bicycle helmet use""","q7 ""Rollerblading helmet use""","q8 ""Seat belt use""",NA10,"q10  ""Weapon Carrying""",NA11,"q11 ""Physical Fighting""","q13 ""Electronic Bullying""","q14 ""Suicide consideration""","q15 ""Suicide plan""","q16 ""Attempted suicide""","q17 ""Ever cigarette use""","q18 ""Initiation of cigarette use""","q19 ""Current cigarette use""","q20 ""Smoked >10 cigarettes""","q21 ""Electronic vapor product use""","q22 ""Current electronic vapor use""","q23 ""EVP from store""","q24 ""Current smokeless tobacco use""","q25 ""Current cigar use""","q26 ""Ever alcohol use""","q27 ""Initiation of alcohol use""","q28 ""Ever marijuana use""","q29 ""Initiation of marijuana use""","q30 ""Ever prescription pain medicine use""","q31 ""Ever cocaine use""","q32 ""Ever inhalant use""","q33 ""Ever steriod use""","q34 ""Ever sexual intercourse""","q35 ""Sex before 11 years""","q36 ""Multiple sex partners""","q37 ""Condom use""","q38 ""Perception of weight""","q39 ""Weight loss""","q40 ""Breakfast eating""","q41 ""Physical activity >= 5 days""","q42 ""Television watching""","q43 ""Computer use""","q44 ""PE attendance""","q45 ""Sports team participation""","q46 ""Concussion""","q47 ""Asthma""","q48 ""Hours of sleep on school night""","q49 ""Grades in school""","qn6 ""Never or rarely wore a bicycle helmet""","qn7 ""Never or rarely wore a helmet when rollerblading or skateboarding""","qn8 ""Never or rarely wore a seat belt""","qn9 ""Rode with a driver who had been drinking alcohol""","qn10 ""Carried a weapon""","qn11 ""Were in a physical fight""","qn12 ""Were bullied on school property""","qn13 ""Were electronically bullied""","qn14 ""Seriously thought about killing themselves""","qn15 ""Made a plan about how they would kill themselves""","qn16 ""Tried to kill themselves""","qn17 ""Ever tried cigarette smoking""","qn18 ""Tried cigarette smoking for the first time before age 11 years""","  qn19 ""Currently smoked cigarettes""","qn20 ""Smoked more than 10 cigarettes per day""","qn21 ""Ever used an electronic vapor product""","qn22 ""Currently used an electronic vapor product""","qn23 ""Usually got their own electronic vapor products by buying them in a store""","qn24 ""Currently used smokeless tobacco""","qn25 ""Currently smoked cigars""","qn26 ""Ever drank alcohol""","qn27 ""Drank alcohol for the first time before age 11 years""","qn28 ""Ever used marijuana""","qn29 ""Tried marijuana for the first time before age 11 years""","qn30 ""Ever took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it""","qn31 ""Ever used cocaine"" qn32 ""Ever used inhalants""","qn33 ""Ever took steriods without a doctor's prescription""","qn34 ""Ever had sexual intercourse""","qn35 ""Had sexual intercourse for the first time before age 11 years""","qn36 ""Had sexual intercourse with three or more persons""","qn37 ""Used a condom during last sexual intercourse""","qn38 ""Described themselves as slightly or very overweight"" qn39 ""Were trying to lose weight""","qn40 ""Did not eat breakfast"" qn41 ""Were physically active at least 60 minutes per day on 5 or more days""","qn42 ""Watched television 3 or more hours per day""","qn43 ""Played video or computer games or used a computer 3 or more hours per day""","qn44 ""Attended physical education classes on 1 or more days""","qn45 ""Played on at least one sports team""","qn46 ""Had a concussion from playing a sport or being active""","qn47 ""Had ever been told by a doctor or nurse that they had asthma""","qn48 ""Had 8 or more hours of sleep""","qn49 ""Made mostly A's or B's in school"""
CH,"Chicago,",IL,(CH),District,1,1995,1,42.8643,9,1,12606,2,2,1,NA,1,2,2,2,2,2,2,1,NA,2,2,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,54.7781,1,2,12615,5,1,3,NA,2,2,2,2,2,2,2,1,NA,1,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,47.2672,18,2,12624,3,1,1,NA,2,2,2,2,2,2,2,1,NA,2,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,47.2787,20,2,12633,4,1,3,NA,1,1,2,2,2,2,2,1,NA,2,NA,NA,1,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,68.4779,3,2,12642,5,2,3,NA,1,2,2,,,1,1,1,NA,2,2,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,53.2565,17,1,12651,5,1,3,NA,1,1,2,1,1,,,NA,NA,1,1,NA,1,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,45.8721,12,1,12660,2,1,1,NA,1,1,2,2,2,2,2,1,1,1,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,41.461,14,1,12669,3,2,1,NA,1,1,1,2,2,2,2,NA,1,2,1,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,59.0327,2,1,12687,5,2,3,NA,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,46.322,3,2,12696,3,2,1,NA,1,2,2,2,2,1,1,1,1,2,1,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,43.6148,1,2,12705,3,2,1,NA,1,2,2,1,1,,,2,NA,2,2,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,60.6773,10,1,12714,4,1,3,NA,1,2,2,2,2,2,2,1,NA,2,1,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,47.1935,10,2,12723,4,1,3,NA,1,1,1,2,2,1,1,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,67.5225,13,2,12741,4,1,2,NA,1,1,2,1,1,1,1,1,NA,2,1,NA,1,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,57.6809,5,1,12750,4,1,3,NA,1,2,2,2,2,2,2,1,1,2,1,NA,1,NA,NA,2,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,47.2334,7,1,12768,3,1,1,NA,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,51.9494,12,2,12777,3,2,2,NA,1,1,2,,,1,1,1,1,2,2,NA,1,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,39.4867,17,2,12795,3,2,1,NA,1,1,2,2,2,1,1,1,1,2,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,94.3589,1,1,12804,4,2,2,NA,1,1,2,2,2,1,1,1,1,1,2,NA,1,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,46.322,3,2,12813,2,2,1,NA,1,2,2,2,2,2,2,1,1,2,2,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,47.2262,1,2,12822,4,2,3,NA,2,2,2,2,2,2,2,2,1,2,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
CH,"Chicago,",IL,(CH),District,1,1995,1,43.7531,9,1,12831,2,1,1,NA,1,2,2,2,2,2,2,1,1,1,1,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
